apartment_id,price,date,room_type,accommodates,bedrooms,bathrooms,cleaning_fee,availability_90_days,neighbourhood,district,latitude,longitude,host_id,host_since,host_respons_time,host_response_rate,host_superhost,host_listings_count,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,kitchen,wifi,tv,coffe_machine,dishwasher,terrace,bathtub,check_in_24h
92422,125,2010-02-15,Loft,2,1,1,$39.00,0,Friedrichshain,Friedrichshain-Kreuzberg,52.51171,13.45477,16149,2009-05-07,within an hour,100%,FALSE,1,99,10,10,10,10,10,10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
79231,33,2009-08-18,Apartment,2,1,1,$0.00,45,Prenzlauer Berg,Pankow,52.54316,13.41509,17391,2009-05-16,within an hour,100%,TRUE,2,97,10,10,10,10,10,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41704,180,2015-08-09,Apartment,7,4,2.5,$80.00,0,Prenzlauer Berg,Pankow,52.53303,13.41605,33852,2009-08-25,within a day,100%,FALSE,1,100,10,10,10,10,10,10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
99805,49,2010-02-18,Apartment,2,0,1,$50.00,37,Neukölln,Neukölln,52.49548,13.42182,68997,2010-01-08,within an hour,100%,TRUE,2,96,10,10,10,10,10,9,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
86694,129,2012-10-03,Loft,4,2,1,$49.00,67,Prenzlauer Berg,Pankow,52.53695,13.40762,71331,2010-01-18,within an hour,100%,FALSE,1,89,9,9,9,9,10,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
53845,98,2010-05-15,Apartment,4,2,1,$60.00,72,Kreuzberg,Friedrichshain-Kreuzberg,52.49485,13.4285,86068,2010-02-27,within a few hours,91%,TRUE,2,95,10,9,10,10,10,9,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
98966,160,2010-10-10,Apartment,5,1,1,$45.00,61,Mitte,Mitte,52.53435,13.40558,87357,2010-03-02,within an hour,100%,TRUE,1,95,10,10,10,10,10,9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
55238,65,2010-09-18,Condominium,4,1,1,$100.00,0,Kreuzberg,Friedrichshain-Kreuzberg,52.48971,13.37975,94918,2010-03-17,within a day,100%,FALSE,1,90,9,9,10,9,9,9,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
56583,90,2010-09-22,Apartment,4,2,2.5,$45.00,1,Prenzlauer Berg,Pankow,52.53079,13.41808,99662,2010-03-27,within a few hours,100%,FALSE,2,94,10,10,10,9,10,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86770,269,2010-08-17,Apartment,8,2,2,$50.00,84,Prenzlauer Berg,Pankow,52.54406,13.42138,112675,2010-04-23,within an hour,90%,TRUE,2,92,10,10,10,10,10,9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
67799,70,2010-11-23,Apartment,1,0,1,$0.00,3,Prenzlauer Berg,Pankow,52.54672,13.40512,55531,2009-11-18,within a day,100%,FALSE,4,92,9,10,10,10,9,9,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
93736,65,2010-09-29,Apartment,4,2,1,$80.00,0,Prenzlauer Berg,Pankow,52.54179,13.42388,54283,2009-11-14,within an hour,100%,TRUE,3,96,10,10,10,10,10,9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
18538,100,2010-09-16,Apartment,8,2,1,$40.00,62,Prenzlauer Berg,Pankow,52.54597,13.42236,485838,2011-04-05,within an hour,100%,TRUE,4,95,10,10,10,10,10,10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
